,OBJECTID,TRACT,GEOID,Total Population,Total Pop of 1 Race,Pop of 1 race: White,Pop of 1 race: Black,Pop of 1 race: American Indian Alaskan,Pop of 1 race: Asian,Pop of 1 race: Native Hawaiian Pacific Islander,Pop of 1 race: Other Race,Pop 2 or more races: Black and,Pop 2 or more races: American Indian Alaskan and,Pop 2 or more races: Asian and,Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Hispanic Population,Total Non-Minority Population (White Not Hispanic),Not Hispanic Pop of 1 race: Black,Not Hispanic Pop of 1 race: American Indian Alaskan,Not Hispanic Pop of 1 race: Asian,Not Hispanic Pop of 1 race: Native Hawaiian Pacific Islander,Not Hispanic Pop of 1 race: Other Race,Not Hispanic Pop 2 or more races: Black and,Not Hispanic Pop 2 or more races: American Indian Alaskan and,Not Hispanic Pop 2 or more races: Asian and,Not Hispanic Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Pop 18+,18+ Pop 1 race: White,18+ Pop 1 race: Black,18+ Pop 1 race: American Indian Alaskan,18+ Pop 1 race: Asian,18+ Pop 1 race: Native Hawaiian Pacific Islander,18+ Pop 1 race: Other race,18+ Pop 2 or more races: Black and,18+ Pop 2 or more races: American Indian Alaskan and,18+ Pop 2 or more races: Asian and,18+ Pop 2 or more races: Native Hawaiian Pacific Islander,Hispanic 18+ Pop,Non-Minority 18+ Pop (White Non-Hispanic),Not Hispanic 18+ Pop 1 race: Black,Not Hispanic 18+ Pop 1 race: American Indian Alaskan,Not Hispanic 18+ Pop 1 race: Asian,Not Hispanic 18+ Pop 1 race: Native Hawaiian Pacific Islander,Not Hispanic 18+ Pop 1 race: Other race,Not Hispanic 18+ Pop 2 or more races: Black and,Not Hispanic 18+ Pop 2 or more races: American Indian Alaskan and,Not Hispanic 18+ Pop 2 or more races: Asian and,Not Hispanic 18+ Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Housing Units,Occupied Housing Units,Vacant Housing Units,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015,NEIGHBORHOODCLUSTER,POPDENSITY,INCOME_LEVEL_2010,INCOME_LEVEL_2015
0,1,34.0,11001003400,4347,4152,576,3392,20,97,3,64,157,66,45,8,239,528,3295,8,90,3,16,143,61,40,5,3997,538,3129,15,86,3,53,140,59,40,8,200,500,3043,8,79,3,14,129,55,35,5,1347,1025,322,266.26420059,0.41603782,4800.86593863745,1077532.99660087,53344073.0,39287.0,75037699.0,43117.0,59287920.0,38099.0,70436558.0,40413.0,79636907.0,42596.0,92096567.0,46152.0,3,10448.569315164665,MID_INCOME,MID_INCOME
1,2,35.0,11001003500,3740,3594,626,2681,14,106,0,167,91,26,28,8,371,530,2620,11,106,0,7,70,24,25,7,3398,581,2444,13,104,0,131,85,26,23,8,292,508,2387,10,104,0,7,70,24,20,7,1189,964,225,94.35238321,0.14742560000000002,2982.4735584343102,381830.550236599,46454657.0,30673.5,66239783.0,32859.5,55914150.0,30555.5,60909648.0,32885.0,78873551.0,40450.0,97549566.0,44843.0,3,25368.728361966983,MID_INCOME,MID_INCOME
2,3,36.0,11001003600,4208,4048,1773,1645,13,161,0,456,58,39,44,11,809,1521,1604,8,158,0,14,49,20,41,9,3680,1691,1378,11,149,0,324,50,31,35,10,616,1473,1346,7,146,0,11,44,19,32,8,2308,1987,321,75.52164797,0.11800258,2293.46528038609,305625.267934718,110621750.0,35858.0,161376203.0,42788.5,147954698.0,40355.0,153247476.0,40692.0,143081526.0,41616.0,178040405.0,46806.0,2,35660.23725921925,MID_INCOME,MID_INCOME
3,4,37.0,11001003700,5763,5507,1915,2527,22,212,10,821,134,60,55,15,1514,1490,2405,13,206,7,16,65,34,45,7,4798,1782,1988,17,193,9,605,106,50,49,10,1125,1450,1906,9,188,6,15,55,26,41,7,2570,2401,169,72.2318631,0.11286229,2297.04064353927,292311.980827426,103905996.0,32263.0,162058134.0,41387.5,126923023.0,35705.5,143596631.0,38248.0,140501730.0,39131.0,181651966.0,45690.5,2,51062.2281366079,MID_INCOME,MID_INCOME
4,5,38.0,11001003800,4614,4419,2884,825,22,261,1,426,77,37,78,7,935,2456,796,10,257,1,26,59,27,68,3,4177,2726,729,18,240,1,313,53,35,64,6,738,2364,705,8,236,1,22,39,26,55,2,2861,2625,236,87.92165175,0.13737758,2708.29507380276,355806.303173665,155960140.0,48799.0,209040361.0,54786.0,196678623.0,52077.0,213601983.0,54908.0,213544242.0,56380.0,235619338.0,60561.0,1,33586.26640533339,MID_INCOME,MID_INCOME
5,6,39.0,11001003900,4474,4304,3285,563,21,225,4,206,88,43,59,3,553,2995,546,13,224,3,21,55,25,57,3,4225,3145,528,20,208,4,181,72,34,49,3,492,2884,511,13,207,3,17,46,24,47,3,2996,2806,190,99.08050118,0.15481328,3408.08064364438,400964.56490771205,155878056.0,51160.0,206237963.0,59470.0,211741280.0,56264.5,215163653.0,58480.0,179473697.0,58736.0,214640250.0,63630.0,1,28899.329566559147,MID_INCOME,MID_INCOME
6,7,65.0,11001006500,2531,2469,2088,228,13,113,1,26,19,13,32,7,123,1999,222,11,112,1,10,17,9,31,6,2296,1913,212,11,97,1,18,11,8,25,5,102,1837,207,10,96,1,6,9,6,24,4,1543,1320,223,122.57017207,0.1915159,3386.49588135959,496023.89097890205,120078372.0,76911.0,138021124.0,79139.0,138113790.0,75279.0,153834127.0,75784.0,137875103.0,89279.0,156307500.0,92684.0,26,13215.612907335631,MID_HIGH_INCOME,MID_HIGH_INCOME
7,8,15.0,11001001500,5911,5729,4877,643,7,145,2,55,67,34,97,8,304,4642,637,6,144,2,21,62,27,86,8,4371,3609,521,7,119,2,34,33,21,36,5,205,3444,517,6,118,2,15,31,16,30,5,2126,2081,45,1161.05094687,1.81414212,10650.327087649599,4698606.50898024,505817116.0,135878.0,464768292.0,136868.0,531571394.0,140516.0,611814393.0,147108.0,586301676.0,158383.0,623341016.0,165589.0,10,3258.2893781221505,HIGH_INCOME,HIGH_INCOME
8,9,16.0,11001001600,3957,3799,997,2670,8,55,1,68,114,51,45,0,200,930,2621,4,55,0,15,104,45,37,0,3239,801,2255,6,48,1,42,59,41,19,0,136,756,2219,3,48,0,6,57,39,16,0,1685,1620,65,667.00608096,1.04219701,8627.683622023951,2699277.85855378,239860892.0,88449.5,206050056.0,86508.5,241106479.0,84972.0,253855939.0,89084.5,280146313.0,97830.5,285179163.0,99800.5,16,3796.7869433822307,MID_HIGH_INCOME,MID_HIGH_INCOME
9,10,17.02,11001001702,2644,2519,1020,1342,6,79,1,71,94,34,29,2,212,918,1325,5,78,1,8,77,33,25,1,2273,888,1175,5,70,1,55,57,26,18,1,155,815,1162,4,69,1,6,45,25,17,1,1312,1230,82,229.81597262,0.35908746,4873.12595831827,930032.2502837359,85001437.0,53846.5,99172867.0,57746.0,95489279.0,53472.5,101908307.0,56393.0,112274193.0,59101.0,118391616.0,59590.0,17,7363.108697808606,MID_INCOME,MID_INCOME
10,11,1.0,11001000100,4890,4808,4444,105,9,201,2,47,17,12,47,2,296,4202,101,8,198,2,15,16,10,43,2,4305,3924,93,8,184,2,33,11,12,30,2,257,3711,90,7,181,2,9,10,10,26,2,2999,2686,313,585.8460139,0.9153844000000001,10028.2362852268,2370834.717974,551823378.0,89357.0,444019426.0,86101.5,563927063.0,88250.0,806141206.0,92634.0,856267279.0,108308.0,698565228.0,110944.5,4,5342.018063668115,MID_HIGH_INCOME,HIGH_INCOME
12,13,2.02,11001000202,5425,5294,4705,159,5,375,3,47,33,16,76,7,343,4438,150,3,370,3,12,27,14,68,6,5061,4384,155,4,360,3,43,26,15,65,7,320,4132,146,3,355,3,10,22,14,59,6,2143,1933,210,305.03946428,0.47662417,6742.45937677228,1234450.92243497,379656242.0,116867.0,244019719.0,95033.5,365051633.0,109460.5,390987146.0,106470.0,433631252.0,114630.0,429158437.0,115586.0,4,11382.133642110512,HIGH_INCOME,HIGH_INCOME
13,14,3.0,11001000300,6233,6076,5497,139,11,352,1,76,48,20,93,9,404,5186,135,10,348,1,10,44,18,89,9,5542,4900,123,9,323,1,71,36,21,60,7,344,4644,121,8,319,1,8,32,16,59,7,2912,2754,158,252.60319581,0.3946925,4077.6913194682,1022248.8713540001,274689743.0,66914.5,306388942.0,58822.0,356897869.0,58959.5,371428724.0,61936.5,322647481.0,73252.0,358002514.0,70413.0,14,15792.040639231807,MID_HIGH_INCOME,MID_HIGH_INCOME
14,15,4.0,11001000400,1455,1428,1247,50,2,103,0,26,9,2,15,1,123,1149,46,1,103,0,12,6,2,15,1,1218,1032,43,2,100,0,23,7,1,10,1,104,949,39,1,100,0,10,5,1,10,1,690,636,54,378.38282437,0.59122317,5949.90953355894,1531260.97201112,244811632.0,104934.0,130390459.0,110621.0,224772922.0,101766.0,221418072.0,102512.0,260450481.0,130923.5,296162003.0,121711.0,15,2460.999625572861,HIGH_INCOME,HIGH_INCOME
15,16,5.01,11001000501,3376,3267,2853,124,7,249,1,33,32,18,64,3,231,2689,122,3,246,1,4,18,9,60,3,3195,2729,114,5,232,1,28,25,17,47,3,201,2585,112,3,229,1,2,13,9,45,3,2186,2027,159,233.38426375,0.36466291,6813.633099265329,944472.6122603859,157450900.0,65919.0,182269099.0,68973.0,196513698.0,64763.5,210628169.0,70218.0,260010497.2,72707.0,243419505.0,76949.5,15,9257.865023892888,MID_HIGH_INCOME,MID_HIGH_INCOME
16,17,9.02,11001000902,2092,2021,1861,67,4,77,1,11,28,12,40,2,107,1776,63,3,77,1,5,22,9,37,2,1544,1388,50,1,67,1,7,9,8,16,2,71,1327,48,1,67,1,4,7,6,15,2,862,833,29,538.80195519,0.84187806,8704.28779266295,2180454.16569644,218882503.0,121032.0,176273097.0,113487.0,226114271.0,117436.0,262353665.44,121474.5,282158382.0,142212.0,318502754.0,148690.0,13,2484.9204408533938,HIGH_INCOME,HIGH_INCOME
17,18,10.01,11001001001,7436,7168,6342,298,17,432,2,77,74,33,172,9,512,5925,295,9,427,2,22,61,28,164,8,5918,5097,249,14,365,2,65,38,23,71,8,387,4786,248,9,362,2,13,30,19,67,8,2834,2727,107,606.40178436,0.94750279,6507.906512504411,2454020.97014317,441410751.0,114136.5,445020421.0,105423.5,482792403.0,109646.0,523214776.0,110482.5,563657398.0,128283.0,567841867.0,131571.0,11,7847.997999034916,HIGH_INCOME,HIGH_INCOME
18,19,10.02,11001001002,3442,3329,2788,185,7,311,0,38,35,24,59,6,271,2564,178,5,311,0,9,32,24,56,5,3226,2637,165,7,297,0,33,24,22,44,6,241,2438,159,5,297,0,8,21,20,43,5,2342,2089,253,219.83405344,0.34349071,3952.2785134226,889636.8562907471,119559942.0,74658.0,134639759.0,76705.0,130340038.0,74072.0,142883669.4,76636.5,124109798.0,78338.0,144272959.0,79814.5,14,10020.649466764327,MID_HIGH_INCOME,MID_HIGH_INCOME
19,20,40.01,11001004001,3745,3623,3237,139,5,162,8,72,33,26,60,5,345,2999,133,5,162,3,3,28,26,50,5,3486,3034,131,5,157,6,57,26,25,42,5,289,2825,130,5,157,3,2,23,19,40,5,2489,2305,184,68.1625484,0.10650398,2361.33536165059,275844.04841566604,203836328.0,72807.0,230295472.0,77629.0,253288626.0,74273.0,262839923.0,78314.5,242543416.0,78459.5,269573000.0,85301.5,1,35163.00517595681,MID_HIGH_INCOME,MID_HIGH_INCOME
20,21,40.02,11001004002,2797,2720,2232,226,4,181,1,76,27,14,44,4,250,2088,209,2,179,1,3,22,12,41,4,2654,2135,209,3,170,1,67,24,15,41,3,227,1998,195,2,168,1,3,19,12,39,3,1916,1762,154,48.45148116,0.07570544,2132.73491150418,196076.1888545,132421749.0,60460.5,170535365.0,65155.0,168856216.0,62671.0,182296727.25,65831.0,157938502.0,66742.0,181993123.0,71996.0,1,36945.82582176393,MID_INCOME,MID_HIGH_INCOME
21,22,41.0,11001004100,2708,2646,2261,115,9,181,3,77,29,13,23,1,259,2090,108,4,180,3,14,27,10,20,1,2482,2099,100,9,166,3,67,18,9,15,1,235,1940,94,4,165,3,10,17,8,13,1,1702,1494,208,201.86855479,0.31541962,3872.4981782440505,816933.062280377,403203164.0,87019.0,217573711.0,81283.5,401781124.0,85405.0,450959064.0,89643.0,447733061.0,100196.0,557382746.0,100885.0,1,8585.388569043358,MID_HIGH_INCOME,HIGH_INCOME
22,23,42.01,11001004201,3342,3250,2721,240,5,215,0,69,33,20,41,2,266,2544,236,3,214,0,6,28,17,38,2,3222,2638,220,5,210,0,66,30,19,36,1,251,2473,216,3,209,0,6,25,16,33,1,2259,2113,146,50.53509473,0.07896109,1842.6457827126399,204508.273887692,144465497.0,59325.0,195239173.0,69112.0,204654008.0,64162.0,221028580.0,67390.0,192640010.0,68708.5,215579124.0,70930.5,6,42324.64369476156,MID_INCOME,MID_HIGH_INCOME
23,24,42.02,11001004202,2771,2688,2281,129,10,216,3,49,19,12,50,7,215,2133,126,6,214,3,7,16,7,47,6,2691,2228,124,9,201,3,46,19,12,48,7,208,2083,121,6,199,3,6,16,7,45,6,1915,1787,128,51.4938138,0.08045908,2102.86114555035,208388.072346607,120039686.0,60675.0,165982765.0,67958.0,163715989.0,65293.0,171191044.0,70077.5,140618969.0,65831.0,168607571.0,69537.0,6,34439.86682422916,MID_INCOME,MID_HIGH_INCOME
24,25,43.0,11001004300,3255,3164,1849,901,18,157,2,237,38,21,35,4,492,1642,889,12,149,2,6,29,17,32,4,2963,1795,767,13,150,2,159,33,21,29,4,387,1606,756,9,144,2,5,25,17,27,4,2084,1943,141,58.47083608,0.09136068,2045.4256078194396,236623.07993593198,107576663.0,47515.5,161937053.0,56174.0,146211088.0,52695.0,158072679.0,55500.0,160486937.03,57442.5,200919104.0,65979.0,3,35628.01853051006,MID_INCOME,MID_HIGH_INCOME
25,26,44.0,11001004400,4572,4447,2989,1016,24,260,0,158,45,23,61,5,417,2778,982,18,259,0,15,42,20,57,5,4263,2876,886,21,248,0,129,37,24,49,5,366,2683,854,17,247,0,11,36,20,47,5,2651,2493,158,128.91278832,0.20142623,2944.7214368382106,521691.54843731795,231491287.0,70297.0,325184107.0,77519.0,289136303.0,73367.0,327105530.0,76068.0,343052931.87,76726.0,402398133.0,82842.5,3,22698.136186136235,MID_HIGH_INCOME,MID_HIGH_INCOME
26,27,11.0,11001001100,4779,4641,4012,290,9,273,6,51,41,18,88,1,306,3773,290,4,268,3,25,32,9,80,0,3980,3355,260,9,243,6,34,20,11,45,1,242,3162,260,4,238,3,13,18,7,38,0,2234,2118,116,414.25397777,0.64727184,5698.76233171609,1676426.38039493,361630195.0,101389.0,326529055.0,88358.0,410155292.0,97280.0,460087019.0,97640.0,449192481.0,113046.0,480166743.0,114189.5,11,7383.296637777413,HIGH_INCOME,HIGH_INCOME
27,28,12.0,11001001200,5008,4850,4073,272,18,388,3,96,57,23,76,5,399,3805,263,9,385,3,14,46,22,73,4,4338,3531,239,15,355,3,79,47,21,51,4,350,3293,230,7,352,3,8,38,21,48,3,2633,2516,117,300.99755072,0.47030868,4907.03319175112,1218093.87851016,284024809.0,79665.0,304763968.0,74166.5,315822137.0,74448.0,334717360.0,75515.0,314255746.0,91068.5,340349324.0,89304.0,12,10648.325691118438,MID_HIGH_INCOME,MID_HIGH_INCOME
28,29,13.01,11001001301,3955,3843,3047,374,7,357,0,58,41,13,67,1,290,2820,367,5,356,0,15,35,12,64,1,3477,2736,317,7,301,0,43,29,15,39,1,252,2534,311,5,301,0,8,25,12,39,1,2156,2030,126,705.11146127,1.10173667,8777.81129340234,2853484.86247428,271817059.0,76361.5,240485097.0,66620.0,333803307.0,67980.0,363121417.0,68904.0,333910086.0,76494.0,403703591.0,76325.0,12,3589.7870223381055,MID_HIGH_INCOME,MID_HIGH_INCOME
29,30,13.02,11001001302,6857,6672,5596,379,13,595,2,87,40,28,122,9,483,5219,371,7,587,2,21,36,25,115,9,6589,5395,359,13,569,2,84,38,28,106,9,459,5038,351,7,561,2,21,34,23,102,9,5375,4795,580,393.41836004,0.61471619,6378.54780991365,1592107.62646792,319818452.0,68999.0,405180643.0,73585.0,417821164.0,69520.0,443957414.0,72262.0,401733884.0,73354.5,488935701.0,75148.0,12,11154.741182268195,MID_HIGH_INCOME,MID_HIGH_INCOME
30,31,14.01,11001001401,3078,2975,2541,178,5,198,0,53,37,15,55,4,210,2394,176,1,198,0,12,36,14,44,4,2419,1992,162,4,173,0,40,17,14,22,4,160,1873,160,1,173,0,9,16,13,19,4,1478,1415,63,194.78101375,0.30434534,4033.3702948411296,788250.8011509959,230011349.0,91172.5,207763895.0,79863.5,255563544.0,81219.0,291619848.0,85111.0,294699961.0,102872.0,298582687.0,96830.5,10,10113.511184367075,MID_HIGH_INCOME,MID_HIGH_INCOME
31,32,14.02,11001001402,2998,2921,2334,356,5,160,0,66,40,13,34,1,232,2182,350,4,159,0,7,36,8,31,1,2446,1881,316,5,141,0,54,25,11,20,1,189,1754,314,4,140,0,5,23,8,18,1,1612,1472,140,221.18928156,0.34560825,4867.51420398157,895121.2699631009,176059601.0,98926.0,181523449.0,102986.0,186054316.0,101142.5,208055809.92,109684.5,216714384.0,120265.0,226932846.97,122810.0,10,8674.56144348406,MID_HIGH_INCOME,HIGH_INCOME
32,33,5.02,11001000502,3189,3095,2720,95,15,192,0,73,26,17,56,1,271,2550,89,5,191,0,9,21,13,52,1,2786,2400,85,9,166,0,60,17,13,37,1,223,2258,80,4,165,0,4,15,10,36,1,1774,1643,131,143.67820561,0.2244972,4037.96101367443,581445.072597169,248468359.0,76777.0,252908312.0,75829.0,280426020.0,76905.0,324046430.59,76609.0,290539572.3,90718.5,316766139.16,89334.0,15,14205.076945280385,MID_HIGH_INCOME,MID_HIGH_INCOME
33,34,18.03,11001001803,3514,3401,354,2372,7,73,8,587,62,28,14,5,838,190,2340,4,72,8,14,44,27,7,5,2826,277,1988,5,60,5,407,50,25,11,3,581,162,1966,4,59,5,10,36,24,6,3,1612,1543,69,289.17449346,0.45183515,4709.910531165129,1170247.66299615,69030385.0,25312.0,76833849.0,26235.0,73783877.0,25460.0,85008159.3,26127.0,80454542.0,27382.0,86187145.0,27886.5,17,7777.172714429145,LOW_INCOME,LOW_INCOME
34,35,18.04,11001001804,4480,4310,549,2983,20,51,0,707,74,45,18,11,1211,185,2933,8,51,0,22,56,22,17,8,3461,401,2408,15,42,0,471,61,36,10,10,835,153,2368,7,42,0,6,44,21,9,7,1924,1812,112,148.68792038,0.23232488,3404.95340273657,601718.669088252,90687018.37,26365.0,101095037.0,26535.5,94000568.0,27016.0,101142730.0,27327.0,100111583.0,27144.0,109529081.0,28093.5,17,19283.34150005802,LOW_INCOME,LOW_INCOME
35,36,19.01,11001001901,4016,3887,424,3023,31,36,3,370,99,56,19,3,625,285,2965,12,29,3,3,87,46,16,3,3190,342,2460,27,30,3,241,64,43,17,3,421,242,2418,11,27,3,2,59,34,14,3,1603,1503,100,190.04120651,0.29693939,3629.6554427724896,769069.481664375,89722055.5,36750.0,96561062.0,37420.0,93389146.0,35486.0,98715158.0,38108.0,110110056.0,41377.0,119188692.0,42401.0,17,13524.645551403604,MID_INCOME,MID_INCOME
36,37,33.01,11001003301,3198,3072,959,1998,7,62,4,42,86,38,42,7,125,898,1972,6,62,3,17,80,36,41,7,2828,898,1724,6,61,4,38,64,26,35,7,111,846,1699,6,61,3,15,59,24,35,7,1578,1405,173,108.63021894,0.16973472,3304.15490719572,439610.90178309,94626938.0,50955.5,118997087.0,52263.0,109592464.0,49060.5,119413477.0,51581.0,133621396.0,60466.0,152461285.0,64468.0,21,18841.16579094719,MID_INCOME,MID_INCOME
37,38,33.02,11001003302,2134,2054,735,1216,7,41,0,55,57,21,20,0,128,687,1197,7,41,0,2,52,20,19,0,1856,695,1002,7,41,0,51,37,18,17,0,113,654,985,7,41,0,2,34,17,16,0,982,887,95,49.07735171,0.07668336,1890.7856223921601,198608.997138154,59721428.37,46371.0,82445643.83,51120.0,67070893.0,46580.5,76544783.24,49236.0,84411059.95,55925.0,98091822.0,61645.0,21,27828.72320670351,MID_INCOME,MID_INCOME
38,39,88.04,11001008804,2412,2375,106,2183,7,3,0,76,31,12,12,0,130,68,2167,7,3,0,2,30,12,12,0,1883,87,1706,6,3,0,53,22,11,8,0,87,65,1694,6,3,0,2,21,11,8,0,1396,1096,300,194.50540494,0.3039147,3936.3330640895397,787135.4518641491,27927495.0,24539.0,32464257.52,25106.5,27994707.0,23754.0,33989464.0,23998.5,36934360.0,26995.0,42225948.0,29627.0,23,7936.437428002002,LOW_INCOME,LOW_INCOME
39,40,89.03,11001008903,2633,2591,48,2493,4,7,0,39,38,20,5,1,67,37,2481,3,7,0,5,31,18,5,1,1992,39,1884,4,7,0,29,25,11,2,1,49,31,1877,3,7,0,3,20,10,2,1,1399,1150,249,74.00384840000001,0.11563101,2991.03481033329,299482.950950931,33732629.0,25168.0,50045860.0,29334.0,34354171.0,24295.0,42943277.0,25774.0,54736070.0,30255.0,61273301.0,33866.0,23,22770.708307399545,LOW_INCOME,MID_INCOME
